class,category,indicator_name,series_name,sub_series_name,parameter,value,units,date_last_updated
Health,COVID-19 testing,Total tests (cumulative),undefined_name,Total tests (cumulative),2020-03-01,    225,Number,13-09-21
Health,COVID-19 testing,Total tests (cumulative),undefined_name,Total tests (cumulative),2020-03-02,    254,Number,13-09-21
Health,COVID-19 testing,Total tests (cumulative),undefined_name,Total tests (cumulative),2020-03-03,    280,Number,13-09-21
Health,COVID-19 testing,Total tests (cumulative),undefined_name,Total tests (cumulative),2020-03-04,    305,Number,13-09-21
Health,COVID-19 testing,Total tests (cumulative),undefined_name,Total tests (cumulative),2020-03-05,    332,Number,13-09-21
Health,COVID-19 testing,Total tests (cumulative),undefined_name,Total tests (cumulative),2020-03-06,    398,Number,13-09-21
Health,COVID-19 testing,Total tests (cumulative),undefined_name,Total tests (cumulative),2020-03-07,    442,Number,13-09-21
Health,COVID-19 testing,Total tests (cumulative),undefined_name,Total tests (cumulative),2020-03-08,    470,Number,13-09-21
Health,COVID-19 testing,Total tests (cumulative),undefined_name,Total tests (cumulative),2020-03-09,    549,Number,13-09-21
Health,COVID-19 testing,Total tests (cumulative),undefined_name,Total tests (cumulative),2020-03-10,    637,Number,13-09-21
Health,COVID-19 testing,Total tests (cumulative),undefined_name,Total tests (cumulative),2020-03-11,    720,Number,13-09-21
Health,COVID-19 testing,Total tests (cumulative),undefined_name,Total tests (cumulative),2020-03-12,    817,Number,13-09-21
Health,COVID-19 testing,Total tests (cumulative),undefined_name,Total tests (cumulative),2020-03-13,    937,Number,13-09-21
Health,COVID-19 testing,Total tests (cumulative),undefined_name,Total tests (cumulative),2020-03-14,   1065,Number,13-09-21
Health,COVID-19 testing,Total tests (cumulative),undefined_name,Total tests (cumulative),2020-03-15,   1153,Number,13-09-21
Health,COVID-19 testing,Total tests (cumulative),undefined_name,Total tests (cumulative),2020-03-16,   1557,Number,13-09-21
Health,COVID-19 testing,Total tests (cumulative),undefined_name,Total tests (cumulative),2020-03-17,   2478,Number,13-09-21
