Count of Case Status,Column Labels,,,,,,,,,,,,,,
,No,,,No Total,Unknown,,,Unknown Total,Yes,,,Yes Total,(blank),(blank) Total,Grand Total
Row Labels,Female,Male,Unknown,,Female,Male,Unknown,,Female,Male,Unknown,,(blank),,
26/02/20,,,,,,,,,1,,,1,,,1
2/03/20,,,,,,,,,1,,,1,,,1
4/03/20,,1,,1,,,,,,1,,1,,,2
5/03/20,,,,,,,,,1,1,,2,,,2
6/03/20,1,,,1,,,,,,,,,,,1
12/03/20,,,,,,,,,,1,,1,,,1
13/03/20,,,,,,,,,1,,,1,,,1
14/03/20,,,,,,,,,,1,,1,,,1
15/03/20,,,,,,,,,1,,,1,,,1
16/03/20,,,,,,,,,2,5,,7,,,7
17/03/20,1,1,,2,,,,,2,8,,10,,,12
18/03/20,1,,,1,,,,,,4,,4,,,5
19/03/20,1,4,,5,,,,,7,6,,13,,,18
20/03/20,1,2,,3,,,,,4,4,,8,,,11
21/03/20,5,6,,11,,,,,4,9,,13,,,24
22/03/20,10,5,,15,,,,,14,15,,29,,,44
23/03/20,7,6,,13,,,,,14,14,,28,,,41
24/03/20,11,7,,18,,,,,21,19,,40,,,58
25/03/20,22,10,,32,,,,,21,31,,52,,,84
26/03/20,17,8,,25,,,,,31,23,,54,,,79
27/03/20,24,16,,40,,,,,17,18,,35,,,75
28/03/20,28,8,,36,1,,,1,24,11,,35,,,72
29/03/20,25,21,,46,2,,,2,13,13,,26,,,74
30/03/20,21,12,,33,,,,,6,13,,19,,,52
31/03/20,31,24,,55,,,,,12,10,,22,,,77
1/04/20,21,16,,37,,,,,18,18,,36,,,73
2/04/20,29,27,,56,,,,,13,13,,26,,,82
3/04/20,34,26,,60,,,,,7,8,,15,,,75
4/04/20,31,30,,61,,,,,4,12,,16,,,77
5/04/20,36,25,,61,,,,,5,4,,9,,,70
6/04/20,25,21,,46,,,,,4,3,,7,,,53
7/04/20,16,12,,28,1,,,1,4,4,,8,,,37
8/04/20,15,3,,18,1,,,1,6,3,,9,,,28
9/04/20,20,20,,40,,,,,3,1,,4,,,44
10/04/20,15,6,,21,,,,,6,,,6,,,27
11/04/20,10,6,,16,,,,,5,4,,9,,,25
12/04/20,8,7,,15,,,,,1,4,,5,,,20
13/04/20,7,4,,11,,,,,,,,,,,11
14/04/20,7,6,,13,,,,,1,2,,3,,,16
15/04/20,6,5,,11,,,,,,,,,,,11
16/04/20,8,6,,14,,,,,1,2,,3,,,17
17/04/20,4,5,,9,,,,,2,1,,3,,,12
18/04/20,6,2,,8,,,,,1,1,,2,,,10
19/04/20,6,2,,8,,,,,2,,,2,,,10
20/04/20,3,,,3,,,,,,,,,,,3
21/04/20,4,2,,6,,,,,,,,,,,6
22/04/20,2,2,,4,,,,,1,,,1,,,5
23/04/20,3,1,,4,,,,,,1,,1,,,5
24/04/20,3,3,,6,,,,,,,,,,,6
25/04/20,5,,,5,,,,,1,,,1,,,6
26/04/20,2,1,,3,,,,,,,,,,,3
27/04/20,2,1,,3,,,,,,,,,,,3
28/04/20,,,,,,,,,,1,,1,,,1
29/04/20,,1,,1,,,,,1,,,1,,,2
