class,category,indicator_name,series_name,sub_series_name,parameter,value,units,date_last_updated
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-02-21,      0,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-02-21,    163,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-02-21,  65520,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-02-28,   4491,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-02-28,   6717,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-02-28, 141570,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-03-07,  14420,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-03-07,  15626,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-03-07, 207090,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-03-14,  21715,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-03-14,  23162,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-03-14, 271440,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-03-21,  35595,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-03-21,  36607,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-03-21, 325260,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-03-28,  56290,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-03-28,  56323,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-03-28, 396630,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-04-04,  84595,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-04-04,  84881,Number,30-09-21
